Hero,hero_id,Role,Matches,WR,D2PT Rating,Facet
Clockwerk,51,pos 4,960,48.75,2898.0,No Facet
Leshrac,52,pos 4,257,49.02723735408561,2977.0,No Facet
Nature's Prophet,53,pos 4,1265,44.03162055335969,2639.0,No Facet
Lifestealer,54,pos 4,8,50.0,0.0,No Facet
Dark Seer,55,pos 4,36,36.111111111111114,0.0,No Facet
Clinkz,56,pos 4,59,32.20338983050848,2953.0,No Facet
Omniknight,57,pos 4,245,55.10204081632653,3039.0,No Facet
Enchantress,58,pos 4,360,44.44444444444444,2894.0,No Facet
Huskar,59,pos 4,194,44.329896907216494,2950.0,No Facet
Night Stalker,60,pos 4,114,42.10526315789474,2958.0,No Facet
Broodmother,61,pos 4,6,16.666666666666668,0.0,No Facet
Bounty Hunter,62,pos 4,2764,54.30535455861071,3369.0,No Facet
Weaver,63,pos 4,1659,47.13682941531043,2715.0,No Facet
Jakiro,64,pos 4,1335,46.96629213483146,2784.0,No Facet
Batrider,65,pos 4,907,48.511576626240355,2914.0,No Facet
Chen,66,pos 4,100,44.0,2976.0,No Facet
Spectre,67,pos 4,4,50.0,0.0,No Facet
Ancient Apparition,68,pos 4,918,45.20697167755991,2770.0,No Facet
Doom,69,pos 4,376,47.87234042553192,2964.0,No Facet
Ursa,70,pos 4,49,34.69387755102041,0.0,No Facet
Spirit Breaker,71,pos 4,9068,51.786501985002204,3179.0,No Facet
Gyrocopter,72,pos 4,286,45.10489510489511,2922.0,No Facet
Alchemist,73,pos 4,1024,46.97265625,2798.0,No Facet
Invoker,74,pos 4,3057,51.94635263330062,3152.0,No Facet
Silencer,75,pos 4,1871,47.62159273115981,2712.0,No Facet
Outworld Destroyer,76,pos 4,47,51.06382978723404,0.0,No Facet
Lycan,77,pos 4,8,50.0,0.0,No Facet
Brewmaster,78,pos 4,99,44.44444444444444,2965.0,No Facet
Shadow Demon,79,pos 4,1116,43.10035842293907,2610.0,No Facet
Lone Druid,80,pos 4,72,45.833333333333336,2977.0,No Facet
Chaos Knight,81,pos 4,95,44.21052631578947,2971.0,No Facet
Meepo,82,pos 4,15,53.333333333333336,0.0,No Facet
Treant Protector,83,pos 4,507,54.63510848126233,3067.0,No Facet
Ogre Magi,84,pos 4,1473,49.966055668703326,2894.0,No Facet
Undying,85,pos 4,1462,50.47879616963064,2933.0,No Facet
Rubick,86,pos 4,11927,52.31826947262513,3463.0,No Facet
Disruptor,87,pos 4,1311,49.65675057208238,2936.0,No Facet
Nyx Assassin,88,pos 4,3491,53.88140933829848,3408.0,No Facet
Naga Siren,89,pos 4,27,51.851851851851855,0.0,No Facet
Keeper of the Light,90,pos 4,1211,50.94962840627581,2993.0,No Facet
Io,91,pos 4,840,49.523809523809526,2951.0,No Facet
Visage,92,pos 4,273,54.21245421245421,3035.0,No Facet
Slark,93,pos 4,408,47.30392156862745,2934.0,No Facet
Medusa,94,pos 4,4,0.0,0.0,No Facet
Troll Warlord,95,pos 4,6,33.333333333333336,0.0,No Facet
Centaur Warrunner,96,pos 4,38,36.8421052631579,0.0,No Facet
Magnus,97,pos 4,1438,50.06954102920723,2938.0,No Facet
Timbersaw,98,pos 4,53,33.9622641509434,2976.0,No Facet
Bristleback,99,pos 4,47,31.914893617021278,0.0,No Facet
Tusk,100,pos 4,3830,49.608355091383814,2757.0,No Facet
Skywrath Mage,101,pos 4,4128,47.650193798449614,2420.0,No Facet
Abaddon,102,pos 4,324,52.77777777777778,3019.0,No Facet
Elder Titan,103,pos 4,264,58.71212121212121,3076.0,No Facet
Legion Commander,104,pos 4,103,45.63106796116505,2978.0,No Facet
Techies,105,pos 4,4070,53.71007371007371,3442.0,No Facet
Ember Spirit,106,pos 4,99,42.42424242424242,2966.0,No Facet
Earth Spirit,107,pos 4,2161,52.01295696436835,3053.0,No Facet
Underlord,108,pos 4,71,38.028169014084504,2964.0,No Facet
Terrorblade,109,pos 4,38,31.57894736842105,0.0,No Facet
Phoenix,110,pos 4,3057,53.15668956493294,3248.0,No Facet
Oracle,111,pos 4,449,46.102449888641424,2899.0,No Facet
Winter Wyvern,112,pos 4,1572,53.30788804071247,3150.0,No Facet
Arc Warden,113,pos 4,56,51.785714285714285,3003.0,No Facet
Monkey King,114,pos 4,455,41.31868131868132,2801.0,No Facet
Dark Willow,119,pos 4,2068,49.806576402321085,2851.0,No Facet
Pangolier,120,pos 4,147,38.095238095238095,2920.0,No Facet
Grimstroke,121,pos 4,1706,53.458382180539274,3169.0,No Facet
Hoodwink,123,pos 4,4235,50.035419126328215,2724.0,No Facet
Void Spirit,126,pos 4,220,48.63636363636363,2978.0,No Facet
Snapfire,128,pos 4,2182,47.34188817598533,2667.0,No Facet
Mars,129,pos 4,185,43.24324324324324,2928.0,No Facet
Ringmaster,131,pos 4,1786,48.76819708846585,2853.0,No Facet
Dawnbreaker,135,pos 4,338,49.112426035502956,2981.0,No Facet
Marci,136,pos 4,889,45.556805399325086,2806.0,No Facet
Primal Beast,137,pos 4,101,46.53465346534654,2985.0,No Facet
Muerta,138,pos 4,515,46.601941747572816,2886.0,No Facet
Kez,145,pos 4,28,32.142857142857146,0.0,No Facet
Largo,155,pos 4,370,51.891891891891895,2997.0,No Facet
Anti-Mage,1,pos 5,51,41.1764705882353,2990.0,No Facet
Axe,2,pos 5,201,43.28358208955224,2948.0,No Facet
Bane,3,pos 5,1574,50.444726810673444,2929.0,No Facet
Bloodseeker,4,pos 5,14,35.714285714285715,0.0,No Facet
Crystal Maiden,5,pos 5,5560,49.53237410071942,2576.0,No Facet
Drow Ranger,6,pos 5,23,43.47826086956522,0.0,No Facet
Earthshaker,7,pos 5,563,50.62166962699823,2977.0,No Facet
Juggernaut,8,pos 5,32,37.5,0.0,No Facet
Mirana,9,pos 5,988,53.74493927125506,3094.0,No Facet
Morphling,10,pos 5,19,21.05263157894737,0.0,No Facet
Shadow Fiend,11,pos 5,67,32.83582089552239,2956.0,No Facet
Phantom Lancer,12,pos 5,27,40.74074074074074,0.0,No Facet
Puck,13,pos 5,24,37.5,0.0,No Facet
Pudge,14,pos 5,5879,49.63429154618132,2637.0,No Facet
Razor,15,pos 5,46,52.17391304347826,0.0,No Facet
Sand King,16,pos 5,14,64.28571428571429,0.0,No Facet
Storm Spirit,17,pos 5,21,61.904761904761905,0.0,No Facet
Sven,18,pos 5,24,41.666666666666664,0.0,No Facet
Tiny,19,pos 5,498,40.36144578313253,2781.0,No Facet
Vengeful Spirit,20,pos 5,1253,52.274541101356746,3011.0,No Facet
Windranger,21,pos 5,648,50.46296296296296,3004.0,No Facet
Zeus,22,pos 5,2301,51.93394176445024,3067.0,No Facet
Kunkka,23,pos 5,53,43.39622641509434,2988.0,No Facet
Lina,25,pos 5,399,50.87719298245614,2987.0,No Facet
Lion,26,pos 5,8668,48.43101061375173,2110.0,No Facet
Shadow Shaman,27,pos 5,6569,52.13883391688233,3236.0,No Facet
Slardar,28,pos 5,30,43.333333333333336,0.0,No Facet
Tidehunter,29,pos 5,106,41.509433962264154,2961.0,No Facet
Witch Doctor,30,pos 5,4207,50.249584026622294,2838.0,No Facet
Lich,31,pos 5,5955,50.22670025188917,2791.0,No Facet
Riki,32,pos 5,122,40.16393442622951,2939.0,No Facet
Enigma,33,pos 5,198,49.494949494949495,2989.0,No Facet
Tinker,34,pos 5,122,45.90163934426229,2978.0,No Facet
Sniper,35,pos 5,218,39.908256880733944,2903.0,No Facet
Necrophos,36,pos 5,43,39.53488372093023,0.0,No Facet
Warlock,37,pos 5,4511,48.76967412990468,2541.0,No Facet
Beastmaster,38,pos 5,41,41.46341463414634,0.0,No Facet
Queen of Pain,39,pos 5,287,49.47735191637631,2977.0,No Facet
Venomancer,40,pos 5,5290,48.77126654064272,2467.0,No Facet
Faceless Void,41,pos 5,90,38.888888888888886,2963.0,No Facet
Wraith King,42,pos 5,24,20.833333333333332,0.0,No Facet
Death Prophet,43,pos 5,190,47.36842105263158,2956.0,No Facet
Phantom Assassin,44,pos 5,44,18.181818181818183,0.0,No Facet
Pugna,45,pos 5,927,50.5933117583603,2952.0,No Facet
Templar Assassin,46,pos 5,12,16.666666666666668,0.0,No Facet
Viper,47,pos 5,202,48.51485148514851,2960.0,No Facet
Luna,48,pos 5,32,21.875,0.0,No Facet
Dragon Knight,49,pos 5,7,57.142857142857146,0.0,No Facet
Dazzle,50,pos 5,1887,53.153153153153156,3125.0,No Facet
Clockwerk,51,pos 5,916,50.43668122270742,2965.0,No Facet
Leshrac,52,pos 5,124,42.74193548387097,2954.0,No Facet
Nature's Prophet,53,pos 5,697,41.89383070301291,2758.0,No Facet
Lifestealer,54,pos 5,45,35.55555555555556,0.0,No Facet
Dark Seer,55,pos 5,10,60.0,0.0,No Facet
Clinkz,56,pos 5,43,44.18604651162791,0.0,No Facet
Omniknight,57,pos 5,817,54.34516523867809,3077.0,No Facet
Enchantress,58,pos 5,812,52.58620689655172,3066.0,No Facet
Huskar,59,pos 5,234,41.452991452991455,2922.0,No Facet
Night Stalker,60,pos 5,34,38.23529411764706,0.0,No Facet
Broodmother,61,pos 5,3,66.66666666666667,0.0,No Facet
Bounty Hunter,62,pos 5,564,51.773049645390074,3015.0,No Facet
Weaver,63,pos 5,701,44.79315263908702,2837.0,No Facet
Jakiro,64,pos 5,4330,46.327944572748265,2194.0,No Facet
Batrider,65,pos 5,601,53.577371048252914,3043.0,No Facet
Chen,66,pos 5,540,50.74074074074074,2987.0,No Facet
Spectre,67,pos 5,35,28.571428571428573,0.0,No Facet
Ancient Apparition,68,pos 5,2764,48.480463096960925,2702.0,No Facet
Doom,69,pos 5,166,47.59036144578313,2973.0,No Facet
Ursa,70,pos 5,41,39.02439024390244,0.0,No Facet
Spirit Breaker,71,pos 5,1672,50.35885167464115,2969.0,No Facet
Gyrocopter,72,pos 5,145,50.3448275862069,2993.0,No Facet
Alchemist,73,pos 5,898,47.99554565701559,2867.0,No Facet
Invoker,74,pos 5,952,52.83613445378151,3062.0,No Facet
Silencer,75,pos 5,3666,50.845608292416806,2929.0,No Facet
Outworld Destroyer,76,pos 5,25,28.0,0.0,No Facet
Lycan,77,pos 5,7,57.142857142857146,0.0,No Facet
Brewmaster,78,pos 5,52,51.92307692307692,3001.0,No Facet
Shadow Demon,79,pos 5,1660,48.55421686746988,2846.0,No Facet
Lone Druid,80,pos 5,53,45.283018867924525,2990.0,No Facet
Chaos Knight,81,pos 5,35,48.57142857142857,0.0,No Facet
Meepo,82,pos 5,11,45.45454545454545,0.0,No Facet
Treant Protector,83,pos 5,2097,53.88650453028136,3201.0,No Facet
Ogre Magi,84,pos 5,2879,49.14901007294199,2709.0,No Facet
Undying,85,pos 5,2815,51.296625222024865,3010.0,No Facet
Rubick,86,pos 5,4904,53.22185970636215,3372.0,No Facet
Disruptor,87,pos 5,5959,50.88102030542037,2970.0,No Facet
Nyx Assassin,88,pos 5,725,54.3448275862069,3094.0,No Facet
Naga Siren,89,pos 5,39,38.46153846153846,0.0,No Facet
Keeper of the Light,90,pos 5,491,50.509164969450104,2993.0,No Facet
Io,91,pos 5,2017,51.61130391670798,3053.0,No Facet
Visage,92,pos 5,164,53.65853658536585,3030.0,No Facet
Slark,93,pos 5,289,43.25259515570934,2901.0,No Facet
Medusa,94,pos 5,15,60.0,0.0,No Facet
Troll Warlord,95,pos 5,5,40.0,0.0,No Facet
Centaur Warrunner,96,pos 5,23,47.82608695652174,0.0,No Facet
Magnus,97,pos 5,878,46.924829157175395,2871.0,No Facet
Timbersaw,98,pos 5,19,31.57894736842105,0.0,No Facet
Bristleback,99,pos 5,10,10.0,0.0,No Facet
Tusk,100,pos 5,3379,50.51790470553418,2927.0,No Facet
Skywrath Mage,101,pos 5,1865,46.38069705093834,2637.0,No Facet
Abaddon,102,pos 5,1006,48.508946322067594,2877.0,No Facet
Elder Titan,103,pos 5,380,56.578947368421055,3064.0,No Facet
Legion Commander,104,pos 5,50,46.0,2989.0,No Facet
Techies,105,pos 5,2632,52.01367781155015,3071.0,No Facet
Ember Spirit,106,pos 5,53,49.056603773584904,2994.0,No Facet
Earth Spirit,107,pos 5,472,54.44915254237288,3064.0,No Facet
Underlord,108,pos 5,45,40.0,0.0,No Facet
Terrorblade,109,pos 5,19,26.31578947368421,0.0,No Facet
Phoenix,110,pos 5,2909,51.80474389824682,3095.0,No Facet
Oracle,111,pos 5,2464,51.866883116883116,3044.0,No Facet
Winter Wyvern,112,pos 5,2376,52.44107744107744,3031.0,No Facet
Arc Warden,113,pos 5,28,35.714285714285715,0.0,No Facet
Monkey King,114,pos 5,159,38.9937106918239,2914.0,No Facet
Dark Willow,119,pos 5,1380,48.84057971014493,2862.0,No Facet
Pangolier,120,pos 5,38,23.68421052631579,0.0,No Facet
Grimstroke,121,pos 5,2001,50.774612693653175,2955.0,No Facet
Hoodwink,123,pos 5,1974,50.60790273556231,2941.0,No Facet
Void Spirit,126,pos 5,106,43.39622641509434,2967.0,No Facet
Snapfire,128,pos 5,1749,48.94225271583762,2830.0,No Facet
Mars,129,pos 5,68,58.8235294117647,3022.0,No Facet
Ringmaster,131,pos 5,2766,49.276934201012295,2743.0,No Facet
Dawnbreaker,135,pos 5,243,54.32098765432099,3029.0,No Facet
Marci,136,pos 5,899,43.71523915461624,2731.0,No Facet
Primal Beast,137,pos 5,32,50.0,0.0,No Facet
Muerta,138,pos 5,230,45.65217391304348,2941.0,No Facet
Kez,145,pos 5,33,30.303030303030305,0.0,No Facet
Largo,155,pos 5,483,54.24430641821946,3058.0,No Facet
